timestamp,node,action
1789582169.0483892,cluster-01,start
1789582169.080069,cluster-02,start
1789582169.110642,desktop-01,start
1789582169.140335,low-power-01,start
1789582169.170281,phone-01,start
1789582169.2001228,phone-02,start
1789582219.799951,cluster-01,stop
1789582229.826009,cluster-02,stop
1789582230.011693,cluster-01,restart
1789582239.9118268,desktop-01,stop
1789582239.993398,cluster-02,restart
1789582249.991592,low-power-01,stop
1789582250.105373,desktop-01,restart
1789582260.116683,phone-01,stop
1789582260.1953988,low-power-01,restart
1789582270.156545,phone-02,stop
1789582270.2816699,phone-01,restart
1789582270.423319,cluster-01,stop
1789582280.3078332,phone-02,restart
1789582280.41199,cluster-02,stop
1789582280.5581608,cluster-01,restart
1789582290.464368,desktop-01,stop
1789582290.533916,cluster-02,restart
1789582300.5445209,low-power-01,stop
1789582300.606358,desktop-01,restart
1789582310.6438699,phone-01,stop
1789582310.686493,low-power-01,restart
1789582320.685515,phone-02,stop
1789582320.768163,phone-01,restart
1789582320.898815,cluster-01,stop
1789582330.821911,phone-02,restart
1789582330.877546,cluster-02,stop
1789582331.038979,cluster-01,restart
1789582340.949576,desktop-01,stop
1789582341.013576,cluster-02,restart
1789582351.020053,low-power-01,stop
1789582351.075428,desktop-01,restart
1789582361.117951,phone-01,stop
1789582361.159001,low-power-01,restart
1789582371.195015,phone-02,stop
1789582371.266948,phone-01,restart
1789582371.389746,cluster-01,stop
