result_id	result_name	workunit_name	work_class	wu_create_time	rsc_fpops_est	delay_bound	sent_time	received_time	report_deadline	cpu_time	elapsed_time	flops_estimate	outcome	exit_status	host_id	domain_name	p_ncpus	p_fpops	on_frac	active_frac
1	exp_20260917T084802Z_round_robin_short_1_0	exp_20260917T084802Z_round_robin_short_1	short	1789636655	5000000000	600	1789636724	1789636748	1789637324	2.568227	7.05819	1000000000	1	0	1	phone-02	1	1000000000	1	1
2	exp_20260917T084802Z_round_robin_short_2_0	exp_20260917T084802Z_round_robin_short_2	short	1789636656	5000000000	600	1789636724	1789636753	1789637324	5.087722	7.046887	1000000000	1	0	2	desktop-01	2	1000000000	1	1
3	exp_20260917T084802Z_round_robin_short_3_0	exp_20260917T084802Z_round_robin_short_3	short	1789636656	5000000000	600	1789636724	1789636753	1789637324	5.093827	7.033037	1000000000	1	0	3	cluster-02	4	1000000000	1	1
4	exp_20260917T084802Z_round_robin_short_4_0	exp_20260917T084802Z_round_robin_short_4	short	1789636656	5000000000	600	1789636729	1789636753	1789637329	3.03826	8.038304	1000000000	1	0	4	phone-01	1	1000000000	1	1
5	exp_20260917T084802Z_round_robin_short_5_0	exp_20260917T084802Z_round_robin_short_5	short	1789636661	5000000000	600	1789636753	1789636777	1789637353	5.059694	7.015609	1000000000	1	0	5	low-power-01	1	1000000000	1	1
6	exp_20260917T084802Z_round_robin_short_6_0	exp_20260917T084802Z_round_robin_short_6	short	1789636661	5000000000	600	1789636734	1789636763	1789637334	4.988919	7.029205	1000000000	1	0	6	cluster-01	4	1000000000	1	1
7	exp_20260917T084802Z_round_robin_short_7_0	exp_20260917T084802Z_round_robin_short_7	short	1789636661	5000000000	600	1789636761	1789636812	1789637361	3.597439	9.070292	1000000000	1	0	1	phone-02	1	1000000000	1	1
8	exp_20260917T084802Z_round_robin_short_8_0	exp_20260917T084802Z_round_robin_short_8	short	1789636661	5000000000	600	1789636741	1789636770	1789637341	4.968641	8.023076	1000000000	1	0	2	desktop-01	2	1000000000	1	1
9	exp_20260917T084802Z_round_robin_short_9_0	exp_20260917T084802Z_round_robin_short_9	short	1789636666	5000000000	600	1789636736	1789636770	1789637336	5.071021	7.013255	1000000000	1	0	3	cluster-02	4	1000000000	1	1
10	exp_20260917T084802Z_round_robin_short_10_0	exp_20260917T084802Z_round_robin_short_10	short	1789636666	5000000000	600	1789636741	1789636765	1789637341	3.069513	8.029108	1000000000	1	0	4	phone-01	1	1000000000	1	1
11	exp_20260917T084802Z_round_robin_short_11_0	exp_20260917T084802Z_round_robin_short_11	short	1789636666	5000000000	600	1789636729	1789636753	1789637329	6.04492	8.026852	1000000000	1	0	5	low-power-01	1	1000000000	1	1
12	exp_20260917T084802Z_round_robin_short_12_0	exp_20260917T084802Z_round_robin_short_12	short	1789636671	5000000000	600	1789636751	1789636774	1789637351	5.943821	8.015923	1000000000	1	0	6	cluster-01	4	1000000000	1	1
13	exp_20260917T084802Z_round_robin_short_13_0	exp_20260917T084802Z_round_robin_short_13	short	1789636671	5000000000	600	1789636736	1789636761	1789637336	3.049978	8.032292	1000000000	1	0	1	phone-02	1	1000000000	1	1
14	exp_20260917T084802Z_round_robin_short_14_0	exp_20260917T084802Z_round_robin_short_14	short	1789636671	5000000000	600	1789636741	1789636770	1789637341	4.975209	7.019884	1000000000	1	0	2	desktop-01	2	1000000000	1	1
15	exp_20260917T084802Z_round_robin_short_15_0	exp_20260917T084802Z_round_robin_short_15	short	1789636676	5000000000	600	1789636736	1789636770	1789637336	5.070382	8.014068	1000000000	1	0	3	cluster-02	4	1000000000	1	1
16	exp_20260917T084802Z_round_robin_short_16_0	exp_20260917T084802Z_round_robin_short_16	short	1789636676	5000000000	600	1789636766	1789636807	1789637366	2.536175	7.065341	1000000000	1	0	4	phone-01	1	1000000000	1	1
17	exp_20260917T084802Z_round_robin_short_17_0	exp_20260917T084802Z_round_robin_short_17	short	1789636676	5000000000	600	1789636741	1789636765	1789637341	4.961736	7.023998	1000000000	1	0	5	low-power-01	1	1000000000	1	1
18	exp_20260917T084802Z_round_robin_short_18_0	exp_20260917T084802Z_round_robin_short_18	short	1789636676	5000000000	600	1789636751	1789636774	1789637351	5.883334	9.01708	1000000000	1	0	6	cluster-01	4	1000000000	1	1
19	exp_20260917T084802Z_round_robin_medium_1_0	exp_20260917T084802Z_round_robin_medium_1	medium	1789636681	30000000000	1200	1789636748	1789636800	1789637948	15.93844	33.099732	1000000000	1	0	1	phone-02	1	1000000000	1	1
20	exp_20260917T084802Z_round_robin_medium_2_0	exp_20260917T084802Z_round_robin_medium_2	medium	1789636681	30000000000	1200	1789636770	1789636833	1789637970	30.62915	32.129141	1000000000	1	0	2	desktop-01	2	1000000000	1	1
21	exp_20260917T084802Z_round_robin_medium_3_0	exp_20260917T084802Z_round_robin_medium_3	medium	1789636686	30000000000	1200	1789636736	1789636789	1789637936	30.26696	32.123073	1000000000	1	0	3	cluster-02	4	1000000000	1	1
22	exp_20260917T084802Z_round_robin_medium_4_0	exp_20260917T084802Z_round_robin_medium_4	medium	1789636686	30000000000	1200	1789636753	1789636813	1789637953	25.82028	33.269022	1000000000	1	0	3	cluster-02	4	1000000000	1	1
23	exp_20260917T084802Z_round_robin_medium_5_0	exp_20260917T084802Z_round_robin_medium_5	medium	1789636691	30000000000	1200	1789636763	1789636841	1789637963	30.38726	37.23757	1000000000	1	0	6	cluster-01	4	1000000000	1	1
24	exp_20260917T084802Z_round_robin_medium_6_0	exp_20260917T084802Z_round_robin_medium_6	medium	1789636691	30000000000	1200	1789636751	1789636798	1789637951	24.63093	32.255912	1000000000	1	0	6	cluster-01	4	1000000000	1	1
25	exp_20260917T084802Z_round_robin_medium_7_0	exp_20260917T084802Z_round_robin_medium_7	medium	1789636691	30000000000	1200	1789636753	1789636799	1789637953	29.93951	36.265735	1000000000	1	0	2	desktop-01	2	1000000000	1	1
26	exp_20260917T084802Z_round_robin_medium_8_0	exp_20260917T084802Z_round_robin_medium_8	medium	1789636696	30000000000	1200	1789636753	1789636799	1789637953	29.97489	30.067729	1000000000	1	0	2	desktop-01	2	1000000000	1	1
27	exp_20260917T084802Z_round_robin_medium_9_0	exp_20260917T084802Z_round_robin_medium_9	medium	1789636701	30000000000	1200	1789636736	1789636789	1789637936	30.30673	33.125104	1000000000	1	0	3	cluster-02	4	1000000000	1	1
28	exp_20260917T084802Z_round_robin_medium_10_0	exp_20260917T084802Z_round_robin_medium_10	medium	1789636701	30000000000	1200	1789636753	1789636795	1789637953	15.36171	32.117944	1000000000	1	0	4	phone-01	1	1000000000	1	1
29	exp_20260917T084802Z_round_robin_medium_11_0	exp_20260917T084802Z_round_robin_medium_11	medium	1789636701	30000000000	1200	1789636763	1789636829	1789637963	30.44474	30.44474	1000000000	1	0	6	cluster-01	4	1000000000	1	1
30	exp_20260917T084802Z_round_robin_medium_12_0	exp_20260917T084802Z_round_robin_medium_12	medium	1789636706	30000000000	1200	1789636751	1789636798	1789637951	23.86773	31.254876	1000000000	1	0	6	cluster-01	4	1000000000	1	1
31	exp_20260917T084802Z_round_robin_long_1_0	exp_20260917T084802Z_round_robin_long_1	long	1789636706	120000000000	3600	1789636763	1789636895	1789640363	104.4719	122.740808	1000000000	1	0	6	cluster-01	4	1000000000	1	1
32	exp_20260917T084802Z_round_robin_long_2_0	exp_20260917T084802Z_round_robin_long_2	long	1789636706	120000000000	3600	1789636753	1789636890	1789640353	108.9489	121.647024	1000000000	1	0	3	cluster-02	4	1000000000	1	1
33	exp_20260917T084802Z_round_robin_long_3_0	exp_20260917T084802Z_round_robin_long_3	long	1789636706	120000000000	3600	1789636753	1789636907	1789640353	104.9172	122.729796	1000000000	1	0	3	cluster-02	4	1000000000	1	1
34	exp_20260917T084802Z_round_robin_long_4_0	exp_20260917T084802Z_round_robin_long_4	long	1789636711	120000000000	3600	1789636753	1789636890	1789640353	109.8312	127.750777	1000000000	1	0	3	cluster-02	4	1000000000	1	1
35	exp_20260917T084802Z_round_robin_long_5_0	exp_20260917T084802Z_round_robin_long_5	long	1789636711	120000000000	3600	1789636765	1789636905	1789640365	109.8288	122.645605	1000000000	1	0	5	low-power-01	1	1000000000	1	1
36	exp_20260917T084802Z_round_robin_long_6_0	exp_20260917T084802Z_round_robin_long_6	long	1789636711	120000000000	3600	1789636763	1789636895	1789640363	104.397	121.739606	1000000000	1	0	6	cluster-01	4	1000000000	1	1
