timestamp,node,action
1789640671.941994,cluster-01,start
1789640671.9699688,cluster-02,start
1789640671.996941,desktop-01,start
1789640672.024116,low-power-01,start
1789640672.051305,phone-01,start
1789640672.07812,phone-02,start
1789640694.313428,cluster-01,stop
1789640704.367594,cluster-02,stop
1789640714.4430668,desktop-01,stop
1789640719.5321229,cluster-01,restart
1789640724.484664,low-power-01,stop
1789640729.624511,cluster-02,restart
1789640731.721656,cluster-01,stop
1789640734.585987,phone-01,stop
1789640739.672874,desktop-01,restart
1789640741.8281422,cluster-02,stop
1789640744.66039,phone-02,stop
1789640749.702877,low-power-01,restart
1789640751.8288362,desktop-01,stop
1789640756.9790452,cluster-01,restart
1789640759.812705,phone-01,restart
1789640761.866976,low-power-01,stop
1789640767.064377,cluster-02,restart
1789640769.170906,cluster-01,stop
1789640769.895604,phone-02,restart
1789640771.993977,phone-01,stop
1789640777.089155,desktop-01,restart
1789640779.242691,cluster-02,stop
1789640782.070403,phone-02,stop
1789640787.098633,low-power-01,restart
1789640789.238844,desktop-01,stop
1789640794.403391,cluster-01,restart
1789640797.258663,phone-01,restart
1789640799.269069,low-power-01,stop
1789640804.4871502,cluster-02,restart
1789640806.576614,cluster-01,stop
1789640807.314379,phone-02,restart
1789640809.415478,phone-01,stop
1789640814.503361,desktop-01,restart
1789640816.6728,cluster-02,stop
1789640819.463676,phone-02,stop
1789640824.493459,low-power-01,restart
1789640826.6558652,desktop-01,stop
1789640831.8584378,cluster-01,restart
1789640834.65176,phone-01,restart
1789640836.678876,low-power-01,stop
1789640841.9505038,cluster-02,restart
1789640844.029258,cluster-01,stop
1789640844.707298,phone-02,restart
1789640846.8049312,phone-01,stop
1789640851.907159,desktop-01,restart
1789640854.094409,cluster-02,stop
1789640856.856253,phone-02,stop
1789640861.934298,low-power-01,restart
1789640864.0705438,desktop-01,stop
1789640869.2872698,cluster-01,restart
1789640872.069345,phone-01,restart
1789640874.1469991,low-power-01,stop
1789640879.397344,cluster-02,restart
1789640881.504697,cluster-01,stop
1789640882.1418319,phone-02,restart
1789640884.251199,phone-01,stop
1789640889.3675148,desktop-01,restart
1789640891.595144,cluster-02,stop
1789640894.325835,phone-02,stop
1789640899.4699562,low-power-01,restart
1789640901.544909,desktop-01,stop
1789640906.8243399,cluster-01,restart
1789640909.530306,phone-01,restart
1789640911.64106,low-power-01,stop
1789640916.891524,cluster-02,restart
1789640919.010577,cluster-01,stop
1789640919.624408,phone-02,restart
1789640921.7276149,phone-01,stop
