timestamp,node,action
1789639423.1120052,cluster-01,start
1789639423.139837,cluster-02,start
1789639423.1666949,desktop-01,start
1789639423.193768,low-power-01,start
1789639423.221219,phone-01,start
1789639423.2487628,phone-02,start
1789639463.674805,cluster-01,stop
1789639473.71181,cluster-02,stop
1789639483.748466,desktop-01,stop
1789639493.8268359,low-power-01,stop
1789639493.963329,cluster-01,restart
1789639503.8744729,phone-01,stop
1789639503.9780018,cluster-02,restart
1789639513.977839,phone-02,stop
1789639514.034127,desktop-01,restart
1789639524.162883,low-power-01,restart
1789639524.285766,cluster-01,stop
1789639534.196091,phone-01,restart
1789639534.286796,cluster-02,stop
1789639544.2979908,phone-02,restart
1789639544.369727,desktop-01,stop
1789639554.456908,low-power-01,stop
1789639554.540789,cluster-01,restart
1789639564.4346619,phone-01,stop
1789639564.542677,cluster-02,restart
1789639574.644248,phone-02,stop
1789639574.6881201,desktop-01,restart
1789639584.73203,low-power-01,restart
1789639584.832542,cluster-01,stop
1789639594.739774,phone-01,restart
1789639594.824904,cluster-02,stop
1789639604.8951712,phone-02,restart
1789639604.967658,desktop-01,stop
1789639614.972202,low-power-01,stop
1789639615.0806851,cluster-01,restart
1789639624.985146,phone-01,stop
1789639625.0551229,cluster-02,restart
1789639635.156513,phone-02,stop
1789639635.2059321,desktop-01,restart
1789639645.258649,low-power-01,restart
1789639645.379256,cluster-01,stop
1789639655.34398,phone-01,restart
1789639655.386334,cluster-02,stop
1789639665.561816,phone-02,restart
1789639665.630485,desktop-01,stop
1789639675.656589,low-power-01,stop
1789639675.77164,cluster-01,restart
